precinct,name,3FE6C2C4-E9A9-47C5-A501-C1A1B6D375F1,677FE63A-EE90-4D5E-9A6D-C1A5AA59863A,1C10B7B9-0F5D-4F3C-B202-D38255144435,33E3472F-ED82-4471-99C4-1E180B6C016B
18,Jon Gersh,No,Yes,No,Yes
18,Jeffrey Hadden,Yes,Yes,No,Yes
18,Gilbert Irizarry,Yes,Yes,Yes,Yes
18,David Levy,Yes,No,Yes,Yes
18,Daniel Parmer,Yes,Yes,No,Yes
18,Carolyn Parsons,Yes,Yes,Yes,Yes
18,Michael Watson,Yes,Yes,Yes Verbally,Yes
19,Melanie Brown,Yes,Yes,No,Yes
19,Deborah Butler,Yes,Yes,Yes,Yes
19,Dganit Cohen,Yes,Yes,Yes,Yes
19,Neva Corbo-Hudek,Yes,Yes,No,Yes
19,Elaine Crowder,Yes,Yes,Abstain,Yes
19,Christine Deshler,No,Yes,No,Yes
19,Michelle Durocher,Yes,Yes,Yes,Yes
19,Claire Johnson,Yes,Yes,No,Yes
19,Flynn Monks,Yes,Yes,Yes,Yes
19,James O'Conor,Yes,Yes,Yes,Yes
19,Jonathan Rabinowitz,Yes,Yes,No,Abstain
19,Edward Trembly,Yes,No,Yes,Yes
20,Dean Carman,Yes,Yes,No,Yes
20,Curtis Connors,Yes,Yes,Yes,Yes
20,Samantha Dutra,Yes,Yes,Yes,No
20,Peter Fuller,Yes,Abstain,Yes,Yes
20,Maureen Gormley,Yes,Yes,Yes,Yes
20,Camilla Haase,Yes,Yes,Yes,Yes
20,Leonard Kardon,Yes,Yes,Yes,Yes
20,Michaela May,Yes,Yes,Yes,
20,Patricia Muldoon,Yes,Yes,Yes,Yes
20,Kristin Pennarun,Yes,Yes,Abstain,Yes
20,Katharine Radville,Yes,Yes,Yes,Yes
20,Robert Tosi,Yes,Yes,Yes,Yes
21,Beth Benedikt,Yes,Yes,No,Yes
21,Susan Doctrow,Yes,Yes,Yes,Yes
21,Daniel Dunn,Yes,Yes,Yes,Yes
21,Anne Ehlert,Yes,Yes,Yes,Yes
21,Pamela Hallett,Yes,Yes,Yes,Yes
21,Lori Leahy,Yes,Yes,No,Yes
21,Leslie Mayer,,,,
21,Zarina Memon,Yes,Yes,No,Yes
21,Christopher Rowell,Yes,Yes,Yes,Yes
21,Janice Weber,Yes,Yes Verbally,Yes,Yes
21,Jordan Weinstein,Yes,Yes,No,Yes
21,David White,Yes,Yes,No,Yes
