precinct,name,D4FB9490-1894-4FDA-8B56-7F4F3ED9B091,644C66DB-A941-4A6B-84E8-F6BC74C141C9,9CDF26E3-3012-4632-8C7B-C1456DDF3064,99BD0065-026B-4EA4-B088-501D2FC573E1,A62D6806-BC94-4561-A4B0-64452E37D193,509E1F9B-270D-4409-B7F1-8A0487C52CF1,EB8CB5C3-1BB2-4E6C-85D3-13194B72280A,34EBB1ED-214E-4930-A9FA-DA40D22EAF55,86436A87-85C4-4462-8155-61ED1422AF89
9,Rieko Tanaka,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
10,Barbara Costa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Danuta Forbes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Jane Howard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Peter Howard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Christian Klein,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Charlotte Milan,No,No,Yes,Yes,Yes,Yes,Yes,No,No
10,Sanjay Newton,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Elizabeth Pyle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Michael Quinn,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
10,Christopher Rohter,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Mustafa Varoglu,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Donna Wren,,,,,,,,,
11,Mary Ellen Bilafer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Abstain
11,Christine Carney,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Lynette Culverhouse,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Meredith DiMola,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Ian Goodsell,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Christopher Heigham,No,No,Yes,Yes,Yes,Yes,Yes,No,No
11,Leba Heigham,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
11,Judson Pierce,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
11,Joyce Radochia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
11,Matthew Reck,No,No,Yes,Yes,Yes,Yes,Yes,No,Abstain
11,Carroll Schwartz,No,No,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
11,Paulette Schwartz,No,No,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
12,Benjamin Ames,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Lisa Bielefeld,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Juliana Brazile,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Larry Dieringer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,James DiTullio,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Eric Helmuth,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Gordon Jamieson,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Robert Jefferson,No,No,Yes,Yes,No,Yes,Yes,No,No
12,Caroline Murray,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Helene Newberg,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Jeffrey Thielman,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Sanjay Vakil,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Kristin Anderson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Lynn Bishop,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Michael Byrne,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,John Deyst,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Mary Deyst,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,DeAnne Dupont,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain
13,Laura Fuller,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,David Good,No,No,Yes,Yes,Yes,Yes,Yes,No,No
13,Zachary Grunko,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Marie Krepelka,Abstain Verbally,No Verbally,No Verbally,No Verbally,No Verbally,No Verbally,Yes Verbally,Abstain Verbally,No Verbally
13,Lee Poage,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Priya Sankalia,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Elisabeth Carr-Jones,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Richard Gallagher,No,No,Yes,Yes,Yes,Yes,Yes,No,Abstain
14,Amy Goldstein,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Guillermo Hamlin,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
14,Michaiah Healy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Alan Jones,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Diane Mahon,No,No,Yes,Yes,Yes,Yes,Yes,No,No
14,Christopher Moore,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Brendan O'Day,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
14,Adam Pachter,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Michael Stern,Yes,Yes,Abstain,Abstain,Yes,Yes,Yes,Abstain,Abstain
14,Joseph Tully,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain
15,Kirsi Allison-Ampe,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Gregory Christiana,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Frank Ciano,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Joseph Curro,No,No,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
15,Rachelle Dobbs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Elizabeth Exton,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Beth Ann Friedman,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Naomi Greenfield,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Annie LaCourt,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain
15,Nancy Mara,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Abstain
15,Jane Morgan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Amy Speare,No,No,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
16,Lauren Boyle,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
16,Holly Czapski,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
16,Chris DiMeo,Yes,Yes,Abstain,Abstain,Yes,Yes,Yes,Yes,Yes
16,Deanna Graham,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
