Precinct,Name,n/a,n/a,D4225B2A-4451-41C8-8F51-1FC6E6CF754D,n/a,222072C0-5577-4FCF-A436-42FBD22B8480,A2594459-C799-4660-8A04-D074587BE1B6,44E061A4-CEA7-4860-BC83-0FE44334EC3A,n/a,
15,Gregory Christiana,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
15,Frank Ciano,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
15,Joseph Curro,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
15,Rachelle Dobbs,Abstain,Yes,Yes,Yes,Yes,Yes,No,Yes,No
15,Elizabeth Exton,Yes,Yes,Yes,Yes,Abstain,Yes,Yes,Yes,Yes
15,Beth Ann Friedman,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
15,Naomi Greenfield,Yes,Yes,Yes,Yes,Yes,No,Yes,,
15,Annie LaCourt,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Nancy Mara,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Jane Morgan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
15,Amy Speare,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,Lauren Boyle,Yes,Yes,Yes,Yes,No,No,No,,No
16,Holly Czapski,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,Chris DiMeo,Yes,Yes,Yes,Yes,Abstain,Abstain,No,Yes,Yes
16,Deanna Graham,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
16,Brooks Harrelson,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
16,Kevin Koch,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
16,Marvin Lewiton,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
16,Carol Luddecke,,,,,,,,,
16,Sandra Mostajo,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
16,Allen Reedy,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
16,Barbara Thornton,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
16,John Weiss,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
17,Joshua Arnold,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
17,Michael Brown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
17,Sarah Burks,Yes,Yes,Yes,,,,Yes,Yes,No
17,John Finochetti,,,,,,,,,
