precinct,name,F2EE5268-B3D7-4FFB-946D-BBA6420CD08A,F269811E-0182-4910-88CA-B722AD80ED7A,C74EB903-21E9-4B6E-B8E8-173A93317BC3,33DB7292-EF25-4C2D-854C-671FA58B2E69,8B8D956A-CC99-495B-8E11-C1580FC1B801,D9012F47-326C-49BE-AF14-A6E27EE894FC,85DC6F60-7483-47B6-9914-C185FDD4E380,D99F5D0D-87C5-493E-84AD-64B31987F6E9
10,Christian Klein,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Charlotte Milan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Sanjay Newton,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Elizabeth Pyle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Michael Quinn,Yes,Yes,No,Yes,Abstain,No,Abstain,Yes
10,Christopher Rohter,,,,,,,,
10,Mustafa Varoglu,Yes,Yes,Yes,Yes,No,No,Yes,Yes
10,Donna Wren,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Mary Ellen Bilafer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Christine Carney,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Lynette Culverhouse,Yes,Yes,Yes,Abstain,Yes,Yes,Yes,Abstain
11,Meredith DiMola,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Ian Goodsell,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Christopher Heigham,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Leba Heigham,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Judson Pierce,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
11,Joyce Radochia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Matthew Reck,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Carroll Schwartz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Paulette Schwartz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Benjamin Ames,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Lisa Bielefeld,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Juliana Brazile,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Larry Dieringer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,James DiTullio,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Eric Helmuth,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Gordon Jamieson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Robert Jefferson,Yes,Yes,Yes,Yes,No,No,Yes,Yes
12,Caroline Murray,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Helene Newberg,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Jeffrey Thielman,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Sanjay Vakil,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Kristin Anderson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Lynn Bishop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Michael Byrne,No,Yes,Yes,Yes,Yes,No,Yes,Yes
13,John Deyst,No,Yes,Yes,Yes,No,Yes,Yes,No
13,Mary Deyst,Yes,Yes,Yes,Yes,No,Yes,Yes,No
13,DeAnne Dupont,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Laura Fuller,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,David Good,No,No,No,Yes,Yes,Yes,Yes,Yes
13,Zachary Grunko,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
13,Marie Krepelka,,Yes Verbally,No Verbally,Yes Verbally,No Verbally,Yes Verbally,Abstain Verbally,Yes Verbally
13,Lee Poage,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Priya Sankalia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Elisabeth Carr-Jones,Yes,Yes,Yes,Yes,Abstain,Yes,Yes,Yes
14,Richard Gallagher,Yes,Yes,Yes,Yes,,Yes,Yes,Yes
14,Amy Goldstein,No,Yes,Yes,Yes,No,Yes,Yes,Yes
14,Guillermo Hamlin,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
14,Michaiah Healy,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Yes
14,Alan Jones,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Diane Mahon,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Christopher Moore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Brendan O'Day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Adam Pachter,Abstain,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Michael Stern,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Joseph Tully,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Kirsi Allison-Ampe,No,No,Yes,Yes,Yes,Yes,Yes,Yes
15,Gregory Christiana,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Frank Ciano,No,No,Yes,Yes,Yes,Yes,Yes,Yes
15,Joseph Curro,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Rachelle Dobbs,No,Abstain,Yes,Abstain,Yes,Yes,Yes,Yes
15,Elizabeth Exton,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Beth Ann Friedman,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Naomi Greenfield,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Annie LaCourt,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
15,Nancy Mara,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Jane Morgan,Yes,Yes,Yes,Yes,Yes,,Yes,Yes
15,Amy Speare,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,Lauren Boyle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
16,Holly Czapski,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,Chris DiMeo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,Deanna Graham,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,Brooks Harrelson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,Kevin Koch,Yes,Yes,Yes,Yes,Abstain,Yes,Yes,Abstain
16,Marvin Lewiton,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
16,Carol Luddecke,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,Sandra Mostajo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,Allen Reedy,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
16,Barbara Thornton,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,John Weiss,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
17,Joshua Arnold,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Yes
17,Michael Brown,Yes,Yes,Yes,Yes,Yes,Yes,,
17,Sarah Burks,No,No,Yes,Yes,Yes,Yes,Yes,Yes
17,John Finochetti,,,,,,,,
17,Ann Fitzgerald,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,Laura Gitelson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
17,John Leonard,,No Verbally,Yes Verbally,Yes Verbally,Yes Verbally,No Verbally,Abstain Verbally,Yes Verbally
17,Ann LeRoyer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,Angela Olszewski,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,Amy Slutzky,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,Allan Tosti,No,No,Yes,Yes,Yes,Yes,Yes,Yes
17,Susan Webber,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,Nancy Bloom,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,Shirley Canniff,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,Heather Cooke,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,John Donato,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,William Ford,No,No,Yes,Yes,Yes,Yes,Yes,Yes
18,Jon Gersh,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
18,Jeffrey Hadden,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,Gilbert Irizarry,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,David Levy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,Daniel Parmer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,Carolyn Parsons,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
18,Michael Watson,Yes,Yes,Yes,Abstain,Yes,Yes,Yes,No
19,Melanie Brown,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Yes
19,Deborah Butler,No,No,Yes,Yes,Yes,Yes,Yes,Yes
19,Dganit Cohen,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,Neva Corbo-Hudek,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,Elaine Crowder,No,No,Yes,Yes,Yes,Yes,Yes,Yes
19,Christine Deshler,No,No,Yes,Yes,No,No,Yes,No
19,Michelle Durocher,No,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
19,Claire Johnson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,Flynn Monks,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,James O'Conor,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,Jonathan Rabinowitz,Yes,Yes,Abstain,Yes,Yes,Yes,Yes,Yes
19,Edward Trembly,Yes,Yes,No,Yes,Yes,No,Yes,Yes
20,Dean Carman,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Curtis Connors,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
